Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P12002_143_R2	19.90265704978455	35.0	151.0	0.0	35128010.0
P12002_144_R2	19.23719112155551	35.0	151.0	0.0	38403980.0
P12002_145_R2	20.171004960044826	35.0	151.0	9.090909090909092	37840146.0
P12002_146_R2	20.424544764900233	35.0	151.0	9.090909090909092	36901711.0
P12002_147_R2	21.383391092695632	35.0	151.0	0.0	52925671.0
P12002_148_R2	19.952409073393213	35.0	151.0	0.0	40353401.0
P12002_149_R2	20.785355794447142	36.0	151.0	9.090909090909092	45391708.0
P12002_150_R2	20.438372033330808	36.0	151.0	9.090909090909092	38190020.0
P12002_151_R2	19.152023403560918	35.0	151.0	0.0	34639765.0
P12002_152_R2	20.24201528820224	35.0	151.0	9.090909090909092	34715378.0
P12002_153_R2	20.483263803461398	35.0	151.0	0.0	40245517.0
P12002_154_R2	20.702244572392985	35.0	151.0	9.090909090909092	40423227.0
P12002_155_R2	19.29810959695007	35.0	151.0	0.0	41973198.0
P12002_156_R2	19.083364175463018	35.0	151.0	0.0	31487200.0
P12002_157_R2	21.17929489588407	35.0	151.0	9.090909090909092	46528612.0
P12002_158_R2	20.09801868401732	36.0	151.0	9.090909090909092	38676460.0
P12002_159_R2	18.67178845101526	35.0	151.0	0.0	36084694.0
P12002_160_R2	20.4598968022718	36.0	151.0	9.090909090909092	38836512.0
P12002_161_R2	18.599815434050853	35.0	151.0	0.0	33995076.0
P12002_162_R2	20.722693233235134	35.0	151.0	9.090909090909092	35656440.0
P12002_163_R2	19.03595321999063	35.0	151.0	0.0	31965376.0
P12002_164_R2	20.87446684758551	35.0	151.0	0.0	39957803.0
P12002_165_R2	18.319275253502553	35.0	151.0	0.0	31863405.0
P12002_166_R2	20.285870668483014	36.0	151.0	9.090909090909092	29716753.0
P12002_167_R2	18.250081938587996	35.0	151.0	0.0	31822144.0
P12002_168_R2	19.194410282630443	35.0	151.0	0.0	38536240.0
P12002_169_R2	18.80667444194907	36.0	151.0	9.090909090909092	26418819.0
P12002_170_R2	20.33316421396455	35.0	151.0	0.0	33013367.0
P12002_171_R2	18.588127066554932	35.0	151.0	0.0	38267413.0
P12002_172_R2	19.104347891335152	35.0	151.0	9.090909090909092	32863178.0
P12002_173_R2	23.30733522050636	36.0	151.0	9.090909090909092	46816268.0
P12002_174_R2	20.28403063679852	35.0	151.0	9.090909090909092	45218481.0
P12002_175_R2	19.666206167679846	35.0	151.0	0.0	44374734.0
P12002_176_R2	19.500492057199068	35.0	151.0	0.0	55888579.0
P12002_177_R2	18.86778236088513	35.0	151.0	0.0	35286554.0
P12002_178_R2	21.961499774802633	36.0	151.0	9.090909090909092	48481249.0
P12002_179_R2	20.72381331824195	35.0	151.0	0.0	48766422.0
P12002_180_R2	19.220010869418232	35.0	151.0	0.0	41084698.0
P12002_181_R2	21.760407923016018	36.0	151.0	9.090909090909092	53482323.0
P12002_182_R2	19.290629741243194	35.0	151.0	9.090909090909092	49469088.0
P12002_183_R2	19.003444927293074	35.0	151.0	0.0	48440227.0
P12002_184_R2	19.595037378888506	35.0	151.0	0.0	45256450.0
P12002_185_R2	21.775070948977287	35.0	151.0	0.0	53491404.0
P12002_186_R2	20.182190467555785	35.0	151.0	9.090909090909092	48571854.0
P12002_187_R2	19.901433103172963	35.0	151.0	0.0	52294972.0
P12002_188_R2	21.034004470753104	35.0	151.0	0.0	49606084.0
P12002_189_R2	20.368631972396827	35.0	151.0	9.090909090909092	52120534.0
P12002_190_R2	22.347270518208774	35.0	151.0	9.090909090909092	39423580.0
P12002_191_R2	19.741020511744907	35.0	151.0	0.0	49531443.0
P12002_192_R2	20.448397916419978	35.0	151.0	0.0	48940274.0
P12002_193_R2	21.071462992855913	35.0	151.0	0.0	47568884.0
P12002_194_R2	21.887504282535247	35.0	151.0	9.090909090909092	42629880.0
P12002_195_R2	19.104888701724832	35.0	151.0	0.0	40427735.0
P12002_196_R2	20.07053263066649	35.0	151.0	0.0	45988057.0
P12002_201_R2	21.513396065433056	35.0	151.0	9.090909090909092	40427506.0
P12002_202_R2	24.005775575403703	35.0	151.0	9.090909090909092	46650539.0
P12002_203_R2	20.18654166838931	35.0	151.0	0.0	47733705.0
P12002_204_R2	22.38786256907767	35.0	151.0	0.0	43247433.0
