ACCESSION,SOURCE,HOST
AB746399,Wolbachia endosymbiont of Curculio hachijoensis,Curculio hachijoensis
AB746398,Wolbachia endosymbiont of Curculio hachijoensis,Curculio hachijoensis
HE583204,Wolbachia endosymbiont of Macrolophus pygmaeus,Macrolophus pygmaeus
DQ402520,Wolbachia endosymbiont of Sergentomyia minuta,Sergentomyia minuta
DQ402518,Wolbachia endosymbiont of Phlebotomus perniciosus,Phlebotomus perniciosus
KX155505,Candidatus Wolbachia massiliensis,Cimex hemipterus
KY114937,Wolbachia endosymbiont of Dirofilaria repens,dog
KF059257,Wolbachia endosymbiont of Radopholus similis,Radopholus similis
JX182385,Wolbachia pipientis,Odontosema anastrephae
JX182384,Wolbachia pipientis,Odontosema anastrephae
JX182383,Wolbachia pipientis,Odontosema anastrephae
JX182382,Wolbachia pipientis,Odontosema anastrephae
JX182381,Wolbachia pipientis,Odontosema anastrephae
JX182380,Wolbachia pipientis,Odontosema anastrephae
DQ412082,Wolbachia endosymbiont of Drosophila takahashii subgroup,Drosophila takahashii subgroup
DQ412086,Wolbachia endosymbiont of Drosophila willistoni,Drosophila willistoni
DQ412085,Wolbachia endosymbiont of Drosophila simulans,Drosophila simulans
DQ412084,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae
DQ412083,Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster
DQ412081,Wolbachia endosymbiont of Drosophila pseudoananassae,Drosophila pseudoananassae
DQ412080,Wolbachia endosymbiont of Drosophila nikananu,Drosophila nikananu
AY026913,Wolbachia pipientis,Lycoriella solani raised on potato skins
AY026912,Wolbachia pipientis,Lycoriella solani raised on mushroom culture
OR220066,Wolbachia endosymbiont of Enoplognatha latimana,Enoplognatha latimana
MN699328,Wolbachia endosymbiont of Hypochthonius rufulus,Hypochthonius rufulus
MH337868,Wolbachia endosymbiont of Tunga penetrans,Tunga penetrans
MH337867,Wolbachia endosymbiont of Tunga penetrans,Tunga penetrans
MH337866,Wolbachia endosymbiont of Tunga penetrans,Tunga penetrans
MH337865,Wolbachia endosymbiont of Tunga penetrans,Tunga penetrans
MH337864,Wolbachia endosymbiont of Tunga penetrans,Tunga penetrans
MN123075,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123074,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123073,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123072,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123071,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123070,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123069,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123068,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123067,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123065,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123064,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123063,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123062,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123061,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123060,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123059,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123058,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123057,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123056,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123055,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123054,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123053,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123052,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123051,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123050,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123049,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123048,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123047,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123046,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123045,Wolbachia pipientis,Citrus sp. (various)
MN123044,Wolbachia pipientis,Citrus sp. (various)
MN123043,Wolbachia pipientis,Citrus sp. (various)
MN123042,Wolbachia pipientis,Citrus sp. (various)
MN123041,Wolbachia pipientis,Citrus sp. (various)
MN123040,Wolbachia pipientis,Citrus sp. (various)
MN123039,Wolbachia pipientis,Citrus sp. (various)
MN123038,Wolbachia pipientis,Citrus sp. (various)
MN123037,Wolbachia pipientis,Citrus sp. (various)
MN123036,Wolbachia pipientis,Citrus sp. (various)
MN123035,Wolbachia pipientis,Citrus sp. (various)
MN123034,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123033,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123032,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123031,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123030,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123029,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123028,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123027,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123026,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123025,Wolbachia pipientis,Citrus limon (L.) Osbeck
MN123024,Wolbachia pipientis,Citrus limon (L.) Osbeck
MN123023,Wolbachia pipientis,Citrus limon (L.) Osbeck
MN123022,Wolbachia pipientis,Citrus limon (L.) Osbeck
MN123021,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123020,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123019,Wolbachia pipientis,Festuca arundinacea L.
MN123018,Wolbachia pipientis,Festuca arundinacea L.
MN123017,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123016,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123015,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MN123014,Wolbachia pipientis,Citrus clementina Hort. ex. Tan
MH716233,Wolbachia endosymbiont of Ceratozetella thienemanni,Ceratozetella thienemanni
KT799588,Wolbachia endosymbiont of Mesaphorura yosii,Mesaphorura yosii
KT799587,Wolbachia endosymbiont of Thalassaphorura houtanensis,Thalassaphorura houtanensis
KT799586,Wolbachia endosymbiont of Folsomides parvulus,Folsomides parvulus
KT799585,Wolbachia endosymbiont of Folsomia candida,Folsomia candida
KT799584,Wolbachia endosymbiont of Megalothorax incertus,Neelus incertus
KX155506,Wolbachia pipientis,Aedes albopictus
KJ786952,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
KJ786951,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
KJ786950,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
KJ786949,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
KF454771,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci Asia II 1
JQ888305,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888304,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888303,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888302,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888301,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888300,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888299,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
JQ888298,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
AF232234,Wolbachia endosymbiont of Nephila clavata,Nephila clavata
FJ438538,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
FJ438537,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
FJ438536,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
FJ438535,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
FJ438534,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
FJ438533,Wolbachia endosymbiont of Chorthippus parallelus,Chorthippus parallelus
AY335936,Wolbachia endosymbiont of Xenopsylla cheopis 2,Xenopsylla cheopis 2
AY335935,Wolbachia endosymbiont of Xenopsylla cheopis 1,Xenopsylla cheopis 1
AY335934,Wolbachia endosymbiont of Pulsimulans sp.,Pulsimulans sp.
AY335933,Wolbachia endosymbiont of Plocopsylla achillea,Plocopsylla achillea
AY335932,Wolbachia endosymbiont of Phtiropsylla agenoris,Phtiropsylla agenoris
AY335931,Wolbachia endosymbiont of Ectinorus alejoi,Ectinorus alejoi
AY335930,Wolbachia endosymbiont of Polygenis pradoi,Polygenis pradoi
AY335929,Wolbachia endosymbiont of Adoratopsylla intermedia intermedia,Adoratopsylla intermedia intermedia
AY335928,Wolbachia endosymbiont of Peromyscopsylla selensis,Peromyscopsylla selensis
AY335927,Wolbachia endosymbiont of Craneopsylla minerva wolffheuglia,Craneopsylla minerva wolffheuglia
AY335926,Wolbachia endosymbiont of Pulirritans sp.,Pulirritans sp.
AY335925,Wolbachia endosymbiont of Oropsylla hirsuta,Oropsylla hirsuta
AY335924,Wolbachia endosymbiont of Orchopeas leucopus,Orchopeas leucopus
AY335923,Wolbachia endosymbiont of Ctenocephalides felis,Ctenocephalides felis
AY335922,Wolbachia endosymbiont of Jellisonia sp. Mexico,Jellisonia sp. Mexico
AY335921,Wolbachia endosymbiont of Geusibia ashcrafti,Geusibia ashcrafti
AY335920,Wolbachia endosymbiont of Sphinctopsylla area,Sphinctopsylla area
AY335919,Wolbachia endosymbiont of Echidnophaga gallinacea,Echidnophaga gallinacea
AY335918,Wolbachia endosymbiont of Myodopsylla gentilis,Myodopsylla gentilis
AY335917,Wolbachia endosymbiont of Jellisonia sp. Honduras,Jellisonia sp. Honduras
AY007551,Wolbachia sp. WCR16SWol,Diabrotica virgifera virgifera
AY007550,Wolbachia sp. Dcris16SWol,Diabrotica cristata
AY007549,Wolbachia sp. Avit16SWol,Acalymma vittatum
AY007548,Wolbachia sp. Ablan16SWol,Acalymma blandulum
AY007547,Wolbachia sp. Dlem16SWol,Diabrotica lemniscata
AF487892,Wolbachia endosymbiont of Dirofilaria immitis,Dirofilaria immitis
AY278355,Wolbachia endosymbiont of Mansonella perstans,Mansonella perstans
EU831094,Wolbachia endosymbiont of Folsomia candida,Folsomia candida WC2RD B
EU330430,Wolbachia endosymbiont of Folsomia candida,Folsomia candida WICA A
AY549180,Wolbachia pipientis,Folsomia candida
AY549179,Wolbachia pipientis,Folsomia candida
AY833061,Wolbachia pipientis,Drosophila simulans
AF304445,Wolbachia sp. Okinawa-RS32,Rhipicephalus sanguineus
AF220604,Wolbachia sp.,Thecodiplosis japonensis
U17060,Wolbachia endosymbiont of Drosophila mauritiana,Drosophila mauritiana
AF179630,Wolbachia pipientis,Folsomia candida
AF035160,Wolbachia sp.,Sitophilus oryzae
U83098,Wolbachia sp.,Diabrotica virgifera virgifera
U83097,Wolbachia sp.,Gryllus integer
U83096,Wolbachia sp.,Gryllus integer
U83095,Wolbachia sp.,Gryllus integer
U83094,Wolbachia sp.,Gryllus integer
U83093,Wolbachia sp.,Gryllus ovisopis
U83092,Wolbachia sp.,Gryllus rubens
U83091,Wolbachia sp.,Gryllus assimilis
U83090,Wolbachia sp.,Gryllus pennsylvanicus
U17059,Wolbachia sp.,Drosophila sechellia
OR751613,Wolbachia endosymbiont of Encarsia formosa,Encarsia formosa
OR564190,uncultured Wolbachia sp.,Delia antiqua
OR268559,Wolbachia endosymbiont of Spodoptera frugiperda,Spodoptera frugiperda
OQ102158,Wolbachia endosymbiont of Paracorethrura iocnemis,Paracorethrura iocnemis
OQ102157,Wolbachia endosymbiont of Agalmatium flavescens,Agalmatium flavescens
OQ102155,Wolbachia endosymbiont of Metcalfa pruinosa,Metcalfa pruinosa
OQ102154,Wolbachia endosymbiont of Dictyophara europaea,Dictyophara europaea
OQ102153,Wolbachia endosymbiont of Callodictya krueperi,Callodictya krueperi
OQ102152,Wolbachia endosymbiont of Malenia bosnica,Malenia bosnica
OQ102151,Wolbachia endosymbiont of Pamendanga sp.,Pamendanga sp.
OQ102150,Wolbachia endosymbiont of Proutista sp.,Proutista sp.
OQ102149,Wolbachia endosymbiont of Stenocranus major,Stenocranus major
OQ102148,Wolbachia endosymbiont of Nothodelphax distincta,Nothodelphax distincta
OQ102147,Wolbachia endosymbiont of Chloriona glaucescens,Chloriona glaucescens
OQ102146,Wolbachia endosymbiont of Pentastira rorida,Pentastira rorida
OQ102144,Wolbachia endosymbiont of Cixius nervosus,Cixius nervosus
OQ102143,Wolbachia endosymbiont of Cixidia pilatoi,Cixidia pilatoi
MT548726,uncultured Wolbachia sp.,Ambragaeana sticta
MT548724,uncultured Wolbachia sp.,Gaeana maculata
MW970330,uncultured Wolbachia sp.,Empoasca morphotype A
MW970329,uncultured Wolbachia sp.,Asymmetrasca decedens
MW879751,uncultured Wolbachia sp.,Armigeres subalbatus
MN187328,uncultured Wolbachia sp.,Bemisia tabaci
MH618381,Wolbachia endosymbiont of Ischnopsyllus sp.,Ischnopsyllus sp.
MH618383,Wolbachia pipientis,Culex pipiens
MH618382,Wolbachia pipientis,Culex pipiens
MH618380,Wolbachia endosymbiont of Cimex lectularius,Cimex lectularius
MN383120,Wolbachia endosymbiont of Aedes aegypti,Aedes aegypti
MN383047,Wolbachia endosymbiont of Aedes aegypti,Aedes aegypti
MF509296,Wolbachia endosymbiont of Drosophila bifasciata,Drosophila bifasciata
MF999263,Wolbachia endosymbiont of Aedes aegypti,Aedes aegypti
LC159290,Wolbachia sp. Jabalpur2014,Bemisia tabaci
LC108848,Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster per-luc line
KT273278,Wolbachia endosymbiont of Mycopsylla proxima,Mycopsylla proxima
KT273277,Wolbachia endosymbiont of Mycopsylla fici,Mycopsylla fici
AB604664,Wolbachia secondary endosymbiont of Koreoculio minutissimus,Koreoculio minuitissimus
AB604663,Wolbachia secondary endosymbiont of Koreoculio minutissimus,Koreoculio minuitissimus
AB604662,Wolbachia secondary endosymbiont of Archarius roelofsi,Archarius roelofsi
AB604661,Wolbachia secondary endosymbiont of Curculio hachijoensis,Curculio hachijoensis
AB604660,Wolbachia secondary endosymbiont of Curculio sp.,unknown weevil, Curculio sp.
AB604659,Wolbachia secondary endosymbiont of Curculio okumai,Curculio okumai
AB604658,Wolbachia secondary endosymbiont of Curculio morimotoi,Curculio morimotoi
AB604657,Wolbachia secondary endosymbiont of Curculio hilgendorfi,Curculio hilgendorfi
AB604656,Wolbachia secondary endosymbiont of Curculio okumai,Curculio okumai
KF250096,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250093,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250090,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250089,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250083,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250082,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250079,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250077,uncultured Wolbachia sp.,Trachymyrmex urichii
KF250074,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249893,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249892,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249888,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249886,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249885,uncultured Wolbachia sp.,Trachymyrmex urichii
KF249822,uncultured Wolbachia sp.,Trachymyrmex urichii
KC522606,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
AB772264,Wolbachia endosymbiont of Cosmoscarta heros,Cosmoscarta heros
AB772263,Wolbachia endosymbiont of Philaenus maghresignus,Philaenus maghresignus
AB772260,Wolbachia endosymbiont of Aphrophora quadrinotata,Aphrophora quadrinotata
JX281793,Wolbachia endosymbiont of Aleurocanthus woglumi,Aleurocanthus woglumi; dev. stage: adult
AB795345,Wolbachia sp. MSebKT1,Macrosteles sexnotatus
AB795332,Wolbachia sp. MStoGG1,Macrosteles striifrons
AB795331,Wolbachia sp. MStbGG1,Macrosteles striifrons
JQ726771,Wolbachia endosymbiont of Kleidocerys resedae,Kleidocerys resedae
JQ726770,Wolbachia endosymbiont of Kleidocerys resedae,Kleidocerys resedae
JQ726769,Wolbachia endosymbiont of Kleidocerys resedae,Kleidocerys resedae
JQ726768,Wolbachia endosymbiont of Kleidocerys resedae,Kleidocerys resedae
JQ726767,Wolbachia endosymbiont of Nysius expressus,Nysius expressus
JQ726766,Wolbachia endosymbiont of Nysius sp. 2,Nysius sp. 2
JQ726765,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726764,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726763,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726762,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726761,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726760,Wolbachia endosymbiont of Nysius sp. 1,Nysius sp. 1
JQ726759,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726758,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726757,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726756,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726755,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726754,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JQ726753,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius
JN204507,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
JN204506,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
JN204505,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
JN204504,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
JN204503,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
JN204502,Wolbachia endosymbiont of Bemisia tabaci,Bemisia tabaci
AB632591,Wolbachia endosymbiont of Penicillidia jenynsii,Penicillidia jenynsii, bat fly
AB632590,Wolbachia endosymbiont of Penicillidia jenynsii,Penicillidia jenynsii, bat fly
AB624349,Wolbachia endosymbiont of Nysius plebeius,Nysius plebeius isolate NPTA1 bacteriome
EF433793,Wolbachia endosymbiont of Diaphorina citri,Diaphorina citri
GQ206310,Wolbachia endosymbiont of Sogatella furcifera,Sogatella furcifera
DQ288985,Wolbachia endosymbiont of Cameronieta strandmanni,Cameronieta strandmanni
GQ275145,uncultured Wolbachia sp.,Heteroponera microps voucher RA0384
GQ275141,uncultured Wolbachia sp.,Rhytidoponera metallica voucher RA0310
GQ275140,uncultured Wolbachia sp.,Leptomyrmex sp. voucher RA0308
GQ275137,uncultured Wolbachia sp.,Notonchus sp. voucher RA0303
GQ275135,uncultured Wolbachia sp.,Anoplolepis gracilipes voucher RA0292
GQ275132,uncultured Wolbachia sp.,Odontoponera transversa voucher RA0274
GQ275126,uncultured Wolbachia sp.,Polyergus breviceps voucher RA0239
GQ275115,uncultured Wolbachia sp.,Labidus spininodis voucher CS0468
GQ275114,uncultured Wolbachia sp.,Gnamptogenys sp. voucher CS0448
GQ275113,uncultured Wolbachia sp.,Myrmelachista sp. voucher CS0424
GQ275111,uncultured Wolbachia sp.,Azteca sp. voucher CS0355
GQ275110,uncultured Wolbachia sp.,Megalomyrmex latreillei voucher CS0330
GQ275108,uncultured Wolbachia sp.,Stenamma snellingi voucher CS0294
GQ275107,uncultured Wolbachia sp.,Pseudomyrmex apache voucher CS0280
GQ275103,uncultured Wolbachia sp.,Formica wheeleri voucher CS0271a
EF658668,uncultured Wolbachia sp.,Pristiphora geniculata
AB491204,Wolbachia endosymbiont of Drosicha pinicola,Drosicha pinicola
EF433794,Wolbachia endosymbiont of Diaphorencyrtus aligarhensis,Diaphorencyrtus aligarhensis
EU096232,Wolbachia pipientis,Drosophila
DQ115538,Wolbachia endosymbiont of Pseudolynchia canariensis Type 2,Pseudolynchia canariensis
DQ115537,Wolbachia endosymbiont of Pseudolynchia canariensis Type 1,Pseudolynchia canariensis
AY876253,Wolbachia endosymbiont of Drosophila innubila,Drosophila innubila
AY754820,Wolbachia endosymbiont of Metaseiulus occidentalis,Metaseiulus occidentalis
AY753174,Wolbachia endosymbiont of Tetranychus urticae,Tetranychus urticae
AF045190,Wolbachia sp. Dros,Diplolepis rosae
AF045189,Wolbachia sp. Efor,Encarsia formosa
AF069068,Wolbachia endosymbiont of Litomosoides sigmodontis,Litomosoides sigmodontis
NZ_VCEH01000120,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000078,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000120,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_JAGKTH010000106,Wolbachia endosymbiont of Drosophila auraria,Drosophila auraria
NZ_JACSNJ010000022,Wolbachia endosymbiont of Drosophila sechellia,Drosophila sechellia
NZ_JAPQLM010000179,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000179,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_VCEH01000297,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000242,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000202,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000171,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000138,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000134,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000125,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000099,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000087,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000086,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000015,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_VCEH01000013,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000013,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000015,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000086,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000087,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000099,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000125,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000134,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
